,,,List 1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Sum
cc,Flower,Star,6,फूल,तारा,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,24
cc,Wheat,Chair,7,गेहूँ,कुरसी,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,24
ac,Fate,Dress,8,किस्मत,पोशाक,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,14
ac,Opinion,House,9,राय,मकान,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,19
cc,Coffee,River,10,कॉफ़ी,नदी,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
aa,Effort,Truth,11,प्रयास,सत्य,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,9
ac,Idea,Tree,12,विचार,पेड़,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,9
ca,Garden,Theory,13,बगीचा,सिद्धांत,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,15
aa,History,Health,14,इतिहास,स्वास्थ्य,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,11
ca,Potato,Moment,15,आलू,पल,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,8
ac,Fact,Woman,16,तथ्य,महिला,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,18
,,,,,Total,7,12,15,12,7,8,7,4,13,4,3,15,6,15,5,8,10,5,9,8,12,11,13,11,11,14,11,10,8,14,288
